county_state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,cfips,pct_bb_2017,pct_bb_2018,pct_bb_2019,pct_bb_2020,pct_bb_2021,pct_college_2017,pct_college_2018,pct_college_2019,pct_college_2020,pct_college_2021,pct_foreign_born_2017,pct_foreign_born_2018,pct_foreign_born_2019,pct_foreign_born_2020,pct_foreign_born_2021,pct_it_workers_2017,pct_it_workers_2018,pct_it_workers_2019,pct_it_workers_2020,pct_it_workers_2021,median_hh_inc_2017,median_hh_inc_2018,median_hh_inc_2019,median_hh_inc_2020,median_hh_inc_2021,state
Adams County Illinois,4.5619874,4.4246244,4.4072127,4.4633183,4.4420366,4.4616103,4.3740516,4.3468108,4.385726,4.3915634,4.3818345,4.4499359,4.4207497,4.3798885,4.3662686,4.3740516,4.4655018,4.4601674,4.2881713,4.2862167,4.2803535,4.2705808,4.2197638,4.2432179,4.2432179,4.0673127,4.0419044,4.0712218,4.1024938,4.0438643,3.9434569,3.949363,3.9552693,3.9473944,3.923769,3.949363,3.9473944,3.9729884,3.9867699,17001.0,72.7,75.8,78.2,80.7,82.6,14.8,15.6,15.9,16.4,17.0,1.7,1.6,1.4,1.3,1.3,1.5,1.6,1.7,1.2,1.3,48454.0,51398.0,52993.0,55052.0,58587.0,Illinois
Adams County Indiana,2.3335962,2.2131793,2.2630072,2.2048748,2.1965702,2.1669905,2.1297712,2.1752615,2.1545842,2.1793971,2.1463132,2.1380422,2.1297712,2.2083454,2.2166164,2.1918035,2.1752615,2.1575329,2.0957713,2.0834191,2.0875366,2.1081238,2.112241,2.0998888,2.0957713,2.0875366,2.0669494,2.0834191,2.0998888,2.0970125,2.0970125,2.0929086,2.0272489,2.0067301,2.0313525,2.0764937,2.0682862,2.0970125,2.1257386,18001.0,63.7,67.3,71.1,72.6,75.3,10.1,10.6,11.0,10.4,9.7,0.9,1.0,0.9,1.0,1.0,2.4,2.0,1.7,1.5,0.7,48290.0,51713.0,52504.0,52712.0,56037.0,Indiana
Adams County Iowa,2.7018013,2.6017344,2.5350235,2.5350235,2.5350235,2.5101764,2.5101764,2.5440977,2.4762552,2.4423337,2.4762552,2.5101764,2.5780189,2.5440977,2.5101764,2.4423337,2.4423337,2.4801929,1.9290389,1.9290389,1.9290389,1.9290389,1.9290389,1.9290389,1.8945918,1.8601447,1.8945918,1.9634861,1.9979331,2.009702,2.0443521,2.1136522,2.0790021,2.0790021,2.0443521,2.0790021,2.0790021,2.0790021,2.0443521,19003.0,68.1,72.3,75.5,79.6,82.9,13.0,13.7,11.9,13.5,18.1,0.9,0.8,0.6,0.9,0.3,1.0,1.4,0.9,0.6,0.4,49745.0,49229.0,49255.0,52287.0,57981.0,Iowa
Adams County Mississippi,2.249135,2.2985666,2.2862086,2.2532542,2.2203,2.1649361,2.1448903,2.1128173,2.1448903,2.1488996,2.1288538,2.1529086,2.1168263,2.1769636,2.1208355,2.108808,2.076735,2.0663493,2.1188152,2.1147792,2.1389942,2.1268868,2.1107433,2.1228509,2.1067076,2.0744209,2.0380983,2.0663493,2.0623133,2.0688527,2.0974731,2.1465368,2.1424482,2.0852072,2.1260936,2.1588027,2.1424482,2.1710687,2.1628914,28001.0,67.7,70.4,73.2,75.2,78.3,10.7,10.4,10.0,10.1,10.0,8.6,7.4,8.0,8.6,6.6,0.7,0.8,0.9,0.6,0.6,30359.0,29203.0,29936.0,30633.0,33860.0,Mississippi
Adams County Nebraska,2.4666195,2.4125452,2.4458218,2.4291835,2.4416621,2.4199584,2.3783784,2.4033265,2.4365904,2.4449065,2.4199584,2.4282744,2.3991685,2.4864864,2.3908525,2.3825364,2.3742204,2.3633494,2.3716564,2.3758099,2.3924241,2.3550425,2.3633494,2.3799634,2.4090381,2.4214985,2.4214985,2.4381127,2.4298055,2.4704216,2.4662557,2.4912515,2.4995835,2.4787536,2.4704216,2.5037494,2.4662557,2.4620895,2.4829195,31001.0,76.0,78.5,78.7,82.7,84.6,14.7,15.5,15.6,15.8,15.8,5.2,5.7,6.2,5.8,5.7,0.8,1.1,0.8,0.8,1.0,51721.0,51536.0,53023.0,56007.0,57783.0,Nebraska
Adams County North Dakota,1.5856236,1.6913320000000005,1.6913320000000005,1.7970402,1.7970402,1.8388318,1.8388318,1.8388318,1.9469984,1.9469984,2.0010817,2.0010817,1.9469984,1.8929151,1.8388318,1.8388318,1.7847486,1.89099,2.1134593,2.1134593,2.0022247,2.0022247,1.9466074,1.9466074,2.0022247,1.9466074,1.89099,2.0022247,2.0022247,2.0594966,2.0022883,1.94508,2.0022883,2.0594966,2.1167047,2.173913,2.2311213,2.2311213,2.2311213,38001.0,76.1,78.4,78.1,79.6,81.1,18.4,18.3,15.2,13.6,12.0,1.9,3.1,1.9,1.0,1.3,0.3,1.5,1.4,1.3,2.0,54700.0,54875.0,56681.0,48750.0,52896.0,North Dakota
Adams County Ohio,1.5052541,1.4342517,1.4342517,1.4200511,1.4342517,1.4409359,1.4266692,1.4504471,1.4599582,1.4504471,1.4361804,1.4456915,1.4599582,1.4694693,1.4884915,1.4789804,1.4789804,1.4702395,1.6172634,1.6552051,1.640977,1.6362343,1.6646905000000003,1.6646905000000003,1.6599479,1.6314915,1.6314915,1.6884041,1.6694331999999998,1.6575635999999998,1.6860602999999998,1.6955593,1.7050582,1.6908097000000002,1.6670624000000005,1.6813109000000002,1.6860602999999998,1.7050582,1.724056,39001.0,54.8,60.0,64.2,71.4,76.3,7.9,8.4,8.3,8.5,8.5,0.8,0.6,0.5,0.8,0.7,0.5,0.8,1.1,0.8,0.7,36320.0,36894.0,39079.0,40067.0,44467.0,Ohio
Adams County Pennsylvania,3.614682,3.6072443,3.6122026,3.6047649,3.6307967,3.577368,3.5699768,3.5662811,3.6167879,3.5983098000000004,3.6093967,3.6475849,3.6451211,3.646353,3.6722224,3.6377299,3.7214975,3.6661525,3.6147234,3.6257439,3.6869688,3.6477849,3.6318665,3.6465604,3.6612544,3.6869688,3.6930914,3.6637034,3.660029900000001,3.5942609,3.6089015,3.6284223,3.6430628,3.5906007,3.6272023,3.6564834,3.6235421,3.6381826,3.6552632,42001.0,76.5,78.3,81.0,84.2,85.8,12.8,12.8,12.7,12.8,13.7,4.0,4.0,4.1,3.8,3.5,0.8,0.9,1.0,1.0,1.1,62661.0,64507.0,67253.0,68411.0,72492.0,Pennsylvania
Adams County Washington,1.5749921,1.5270227,1.5430125,1.7109051,1.7348896,1.7127904,1.6890017,1.7207201,1.7920862,1.8000158,1.7762271000000005,1.7207201,1.6810721,1.6652128999999998,1.6176354,1.6017762,1.5779874,1.5670525,1.8584141,1.8977872,1.9056618,1.9056618,1.8741633,1.8505394,1.8505394,1.8584141,1.8662887,1.6851721000000002,1.6930467,1.6694099,1.645897,1.6537345999999995,1.6694099,1.6929226,1.7007602000000002,1.6929226,1.7164354000000002,1.7399483000000002,1.7242731000000002,53001.0,63.1,66.3,74.8,80.2,83.4,9.0,9.3,8.6,8.4,7.9,24.9,25.5,24.5,24.4,23.9,0.3,0.6,1.0,0.9,0.6,48131.0,49142.0,48294.0,51601.0,54573.0,Washington
Adams County Wisconsin,1.7883233,1.8526094,1.870142,1.8350768,1.8117001,1.811806,1.7650497,1.7825832,1.8760959,1.8410287,1.8351841,1.7884278,1.8059614,1.8351841,1.8059614,1.7942723,1.7942723,1.7931998,2.1075921,2.0784817,2.0843036,2.0901258,2.0784817,2.0551932,2.0086167,2.0086167,2.0027945,2.0086167,2.0144389,2.0062623,2.0062623,2.1396265,2.1744173,2.1512234,2.1628203,2.1976111,2.1744173,2.1686189,2.157022,55001.0,68.8,71.2,74.4,76.5,78.0,8.1,8.3,9.2,10.5,11.3,2.9,2.6,2.9,2.9,2.5,1.4,1.5,1.2,1.0,1.0,44003.0,43280.0,46369.0,48906.0,51878.0,Wisconsin
Addison County Vermont,5.7406611,5.4197135,5.1748667,5.1186185,5.1086922,5.038569,4.9499426,4.8941407,4.8777285,4.8481865,4.8317742,4.8449039,4.7562776,4.7891021,4.7759724,4.7891021,4.7956672,4.7280703,4.8950591,5.0260305,5.157002,5.2585049,5.2683277,5.0751448,5.1799221,5.1864705,5.1471791,5.1930194,5.4516878,5.3530827,5.1289549,5.1776781,5.1776781,4.9795361,4.9827843,5.0412526,5.0152669,5.0509973,5.0250115,50001.0,78.3,80.5,83.5,85.2,87.4,21.8,21.9,23.6,25.0,25.3,4.2,4.6,4.8,4.9,4.9,1.5,1.2,1.1,0.9,0.8,61875.0,65093.0,68825.0,70262.0,77978.0,Vermont
Aiken County South Carolina,3.1975393,3.2486751,3.2153594,3.2827656,3.2874143,3.2652497,3.2445252,3.2376173,3.3174446,3.3512177,3.3903639,3.4210668000000006,3.4533048000000006,3.4794023000000003,3.4747968,3.4563751,3.4479318,3.4276596999999995,3.5788355,3.6213772,3.6236563,3.631253,3.6358111000000006,3.6388497,3.6373305,3.6259353,3.6327724,3.6540434,3.6586015,3.6362681,3.6272542,3.6745763,3.6903501,3.6723228,3.6700692,3.7369208,3.7098796,3.7211468,3.7662153,45003.0,72.7,75.5,78.8,83.1,85.8,16.4,16.9,17.1,17.5,18.3,4.5,4.7,4.5,4.0,3.9,1.7,1.4,1.2,1.1,1.2,47713.0,50036.0,51399.0,53385.0,57572.0,South Carolina
Aitkin County Minnesota,2.9456308,2.87748,2.7790399,2.7033167,2.7108891,2.6557403,2.5950375,3.0578952,3.0958343,3.0806587,3.8925564000000006,3.8773806,3.8697929,3.915319900000001,3.9684346,3.998786,4.4692311,4.5285597,4.2782373,4.2934084,4.2782373,4.2630663,4.2554808,4.2630663,4.2630663,4.2706518,3.2921185,2.3135858,2.3211713,2.306936,2.3144996,2.3144996,2.2993722,2.2766809,2.2842448,2.3371909,2.3598821,2.3523183,2.3750095,27001.0,66.5,71.0,73.7,76.9,78.5,11.7,12.2,12.7,12.7,11.9,1.1,1.3,1.2,1.0,0.9,1.6,1.5,1.0,0.7,0.9,45860.0,45989.0,49351.0,49086.0,50900.0,Minnesota
Alachua County Florida,12.222383,14.885809999999998,15.124186,15.385554,15.546034999999998,15.479798,7.7287769,7.735728299999999,7.765388500000001,7.772340299999999,7.7037511,7.7398992,7.7524123,7.7385092,7.737582200000001,7.737582200000001,7.7644615,23.659973,23.968195,24.493687,25.352203,25.780313,26.173973,26.30121,26.395836,26.413752,30.920391,31.091267,31.270872,34.980289,35.711914,41.669964,41.754993,41.684967,42.349297,44.411858,46.253883,7.911022699999999,7.9078398,12001.0,81.4,83.7,85.4,86.0,87.0,21.1,21.7,22.2,22.8,23.2,10.0,10.3,10.5,10.8,10.7,2.0,2.0,2.0,1.9,1.9,45478.0,49078.0,49689.0,50089.0,53314.0,Florida
Alamance County North Carolina,4.2246704,4.3288517,4.3313127,4.3936572,4.4002199,4.3401704,4.2806721,4.2959485,4.3642912,4.3305221,4.360271,4.3892164,4.3988647,4.4036889,4.3771558,4.3900204,4.3884125,4.2764974,4.3419619,4.3711452,4.4034829,4.3813987,4.3743,4.3900747,4.4003282,4.4042716,4.4026942,4.4350324,4.4571166,4.3909121,4.3978744,4.4481578,4.4698181,4.461309,4.4999886,4.5587816,4.5518193,4.5541401,4.5881782,37001.0,73.5,75.9,77.6,81.2,83.8,15.4,16.8,17.4,17.5,18.5,8.2,7.9,7.9,8.0,8.3,1.2,1.1,1.2,1.2,1.1,44281.0,45735.0,49688.0,51580.0,55078.0,North Carolina
Alameda County California,10.699983,10.614049,10.664566,10.680134,10.656081,10.510727,10.373487,10.368484,10.501413,10.557911,10.609405,10.727478,10.792211,10.842319,10.867797,10.859406,10.843628,10.729115,10.101338,10.249046,10.412142,10.429968,10.460134,10.499517,10.542405,10.576914,10.617744,10.77985,10.824262,10.780815,10.846497,10.966194,11.051877,11.011876,11.112408,11.275515,11.270514,11.330742,11.616879,6001.0,85.7,87.5,88.9,91.1,92.2,25.7,26.4,27.3,28.1,28.3,32.1,32.4,32.5,32.8,32.9,3.9,4.0,4.0,4.1,4.1,85743.0,92574.0,99406.0,104888.0,112017.0,California
Alamosa County Colorado,2.8862479,2.9024174,2.8781631,2.8215702,2.8054006,2.8132992,2.7893221,2.7413683,2.8053069,2.8132992,2.9971228,2.9651535,2.9651535,2.981138,2.981138,2.9731457,2.9331841,2.9981928,2.891408,2.8831937,2.9242649,2.9078364,2.9078364,2.8996222,2.8667653,2.858551,2.8831937,3.178906,3.1624775,3.1454248,3.0718954,3.0718954,3.0473857,3.0392158,3.0147059,3.0392158,3.006536,2.9738562,2.9575164,8003.0,66.8,72.0,75.4,78.9,83.8,16.4,15.9,14.6,14.2,15.4,10.1,8.5,9.1,7.7,7.6,1.9,1.4,1.3,1.2,0.1,36315.0,39191.0,37515.0,41121.0,46217.0,Colorado
Albany County New York,6.1020994,6.0046639,6.0050635,6.00107,5.9575438,5.9224892,5.9096909,5.8880935,5.9644842,5.9332881,5.9488859,6.0048795,6.0200777,6.0428748,6.0260768,6.0108786,5.9788823,5.9387846,5.8344131,5.8808002,5.9167905,5.8987956,5.8276148,5.8220162,5.8180175,5.783227,5.812819,5.9987683,6.1631236,6.2133045,6.2289238,6.3102245,6.437983,6.4275703,6.5881691,6.882935,6.8633103,6.88694,6.8913455,36001.0,80.7,82.4,83.5,85.9,86.9,21.1,21.1,21.4,22.1,22.5,9.8,10.4,10.9,11.6,11.3,2.4,2.3,1.9,1.9,1.7,62293.0,64535.0,66252.0,68327.0,73810.0,New York
Albany County Wyoming,4.4185314,4.6454458,4.6076269,4.7368422,4.8156319,4.8054485,4.8495932,4.8748188,4.9378824,4.9378824,4.9441886,4.9536481,4.9820271,4.9284229,4.8558998,4.8653593,4.7360787,4.6759462,4.8716831,4.9276085,4.9245014,4.9307151,4.9058595,4.8965387,4.8530416,4.8437209,4.8375068,4.7846889,4.8064375,4.8170152,4.7800794,4.7554555,4.7400661,4.5369201,4.555388,4.5954013,4.5830898,4.6292591,4.6323371,56001.0,81.0,83.0,86.4,89.0,89.7,28.3,27.5,28.7,29.8,28.4,6.8,7.3,7.3,6.5,6.8,0.5,0.5,0.7,0.4,0.6,45816.0,46865.0,49322.0,51362.0,50733.0,Wyoming
Albemarle County Virginia,6.8804202000000005,7.1611071,7.163506,6.8324399,6.791655999999999,6.6614671,6.5373845,6.5952897,6.627196800000001,6.613015699999999,6.600016600000001,6.624833099999999,6.633105300000001,6.6461043,6.5870175,6.5562921,6.592926,6.55797,6.1868305,6.2136736,6.226512,6.2195091,6.2113395,6.2323475,6.2055039,6.1518173,6.159987,6.2463527,6.2545223,6.1559868,6.1628871,6.2836375,6.304338,6.2456875,6.2813377,6.3192878,6.2732878,6.2939878,6.3457379,51003.0,82.6,84.6,85.3,88.0,89.3,26.7,27.4,28.5,30.5,30.2,10.2,10.8,10.4,10.3,10.4,1.9,1.9,1.5,1.4,1.7,72265.0,75394.0,79880.0,84643.0,90568.0,Virginia
Alcona County Michigan,1.899503,1.9215903,1.8442849,1.9215903,1.8553286,1.8072957,1.7075064000000002,1.7185940999999998,1.7518572,1.7518572,1.7518572,1.8072957,1.7740326,1.7851202,1.7629449,1.7740326,1.7740326,1.7536072,1.8201997,1.8534961000000003,1.8645949,1.809101,1.8312986,1.8645949,1.8423973,1.8423973,1.8867924,1.8201997,1.8645949,1.8416409,1.8306131000000003,1.8526688,1.9078077,1.8636965,1.8636965,1.8967799,1.8636965,1.8306131000000003,1.8636965,26001.0,65.1,68.6,71.6,75.8,77.7,10.0,10.2,11.3,11.9,12.2,1.6,1.4,1.1,1.7,1.4,2.1,3.1,2.8,2.3,2.1,39424.0,39735.0,40484.0,43341.0,46187.0,Michigan
Alcorn County Mississippi,2.6011052,2.710218,2.7594945,2.6926191,2.6855795,2.7624309,2.6533413,2.6885314,2.7307599,2.6638985,2.6427844,4.0750256,4.0503922,4.015202,3.9131505,3.8603654,3.825175,3.984386,4.0371361,4.016036,3.984386,3.9703193,3.9070194,3.8859193,3.8648193,3.8577859,3.8507526,3.8824027,3.8753693,3.87518,3.8435888,3.7874267000000006,3.7909369,3.7944469,3.8084874,3.8822002000000007,3.8330584,3.87869,3.8400786,28003.0,59.4,66.7,70.7,71.5,71.3,9.0,10.2,10.8,11.4,13.4,1.7,1.7,1.4,1.3,1.5,1.8,1.7,1.5,1.2,0.9,38919.0,40180.0,42086.0,40938.0,44068.0,Mississippi
Aleutians East Borough Alaska,1.1065007,1.1065007,1.0719225,1.2793914,1.2448133,1.2597889,1.2257406,1.1916922,1.2597889,1.2597889,1.1916922,1.2597889,1.2597889,1.2597889,1.2597889,1.2597889,1.0214504,1.0341262,1.0685971,1.0685971,1.1030679,1.0685971,1.0685971,1.0341262,1.0341262,1.0341262,1.0341262,0.93071353,0.93071353,0.91649693,0.91649693,0.91649693,0.91649693,0.91649693,0.91649693,0.8825526200000001,0.8825526200000001,0.8825526200000001,0.8825526200000001,2013.0,68.2,67.3,62.4,57.9,57.5,7.7,8.9,8.0,10.5,10.6,36.2,32.6,27.1,27.8,24.7,0.1,0.0,0.0,0.6,0.6,66607.0,69706.0,69250.0,75833.0,72258.0,Alaska
Aleutians West Census Area Alaska,1.4788586,1.3538846,1.3955426,1.3538846,1.3955426,1.4414037,1.4205139,1.4414037,1.399624,1.3787341,1.4205139,1.4414037,1.399624,1.399624,1.3787341,1.399624,1.3578441,1.3782867,1.1026293,1.1662426,1.187447,1.1450381,1.1662426,1.1450381,1.1450381,1.1662426,1.1662426,1.2086514,1.2298558,1.2150928,1.2150928,1.1724579,1.1511405,1.1511405,1.1511405,1.2364101,1.2150928,1.2364101,1.2577276,2016.0,74.1,75.7,77.2,79.0,77.0,12.5,13.1,13.9,14.4,14.4,37.4,39.7,41.6,42.0,45.3,0.8,0.8,0.7,1.3,0.8,85192.0,85517.0,87466.0,87443.0,90708.0,Alaska
Alexander County Illinois,1.8518518,1.7933723,1.8323587,1.8128655,1.7543859000000002,1.8178146,1.7976166,1.8380126,1.8582104,1.8784084,1.8986063,1.9188043,1.8986063,2.0399919,1.999596,1.999596,1.9793981,2.0195711,1.9571102,1.9571102,1.9779304,1.9779304,1.9779304,1.9779304,1.9571102,1.9571102,2.0612118,2.082032,1.9779304,2.0206363,2.0636284,2.0851247,2.0851247,2.0636284,2.0636284,2.0636284,2.0421324,2.0851247,2.0421324,17003.0,45.4,47.9,56.6,60.4,57.9,8.1,8.9,9.9,8.9,7.9,0.9,0.7,0.3,0.3,0.5,1.6,1.4,2.0,2.5,1.1,31014.0,34709.0,36806.0,34709.0,39871.0,Illinois
Alexander County North Carolina,1.506668,1.4761275,1.4998813,1.4591604,1.4320133,1.4169011,1.406732,1.4338497,1.4372394,1.4236805,1.4202908,1.5084234,1.5152029,1.5287617,1.501644,1.4982543,1.4914749,1.4707371,1.4774835,1.4909766,1.5010962,1.5078428,1.5010962,1.48423,1.457244,1.457244,1.4673638,1.4741102,1.48423,1.4922864,1.4855645,1.4822035,1.4922864,1.4922864,1.5158136,1.5494236,1.5796727,1.5763116,1.5897557,37003.0,66.8,69.7,74.0,78.9,81.3,9.2,10.1,9.7,10.0,10.7,3.5,3.5,3.3,3.4,3.2,0.4,0.5,1.0,1.3,0.9,44523.0,44961.0,48756.0,51329.0,55041.0,North Carolina
Alexandria city Virginia,17.923515,20.388571,20.513994,20.726974,20.455622,20.31883,20.154566,20.299276,20.483879,20.530811,20.754524,20.296928,20.470581,20.873423,21.067411,20.544109,21.235588,20.948046,19.210581,19.570324,19.801367,19.788185,19.970383,20.076601,20.381296,20.703825,20.765074,20.855785,20.966654,21.310093,21.430782,21.815285,21.898838,21.850872,22.106949,22.421049,22.456636,22.554117,22.630707,51510.0,88.5,89.7,91.5,92.6,93.1,29.2,28.9,29.7,31.2,31.1,28.4,27.7,27.2,26.1,25.6,2.7,2.6,2.4,2.2,2.5,93370.0,96733.0,100939.0,102227.0,105450.0,Virginia
